"A cronjob is a daemon which continues running and gets activated at a certain interval (time period). Please ensure that your default Magento Cron is working. If not, contact your hosting company for help.","Een cronjob is een daemon die blijft draaien en geactiveerd wordt op een bepaalde interval. Wees er zeker van dat de default Magento Cron werkt. Zo niet, neem contact op met het bedrijf dat uw hosting regelt."
"Add","Voeg toe"
"Advanced Settings","Geavanceerde Instellingen"
"All active feeds are shown in the overview below.<br>The .XML URL is the URL which can be provided into your Sooqr Account. Regarding some cache settings in the browser it's also possible to download the Feed to make sure that you are viewing the latest version. There is a small note at the end of the XML file where you can find the time of generation and the number of products.<br><br><strong>Note:</strong>  Make sure that you save the configuration after the settings are changed and before you generate the feed."
"Alle actieve feeds worden weergegeven in het onderstaande overzicht.<br>De .XML-URL is de URL die in het Sooqr-account kan worden ingegeven. Omdat sommige cache-instellingen in de browser ervoor zorgt dat de feed wordt gecached in de browser is het ook mogelijk om de feed te downloaden om ervoor te zorgen dat u de laatste versie bekijkt. Er is een kleine note aan het eind van het XML-bestand waar u de tijd van de generatie en het aantal producten kunt vinden.<br><br><strong>Opmerking:</strong> Zorg ervoor dat u de configuratie opslaat nadat de instellingen zijn gewijzigd voordat u de feed genereren."
"API Details","API details"
"Brand","Merk"
"Branding","Branding"
"Catalog, Search","Catalogus, Zoek"
"Catalog","Catalogus"
"Category","Categorie"
"CMS Pages","CMS Paginaâ€™s"
"Configurable & Grouped products","Geconfigureerde & gegroepeerde producten"
"Connect the right attributes for the name and description to export the values to the Sooqr feed. The description will be truncated to a maximum of 5000 characters and stripped from html.","Koppel de juiste attributen voor namen en omschrijvingen om de waardes naar de Sooqr feed te exporteren. De omschrijving beslaat maximaal 5000 karakters en wordt ontdaan van HTML. "
"Cron","Cron"
"Custom Frequency","Aangepaste frequentie"
"Custom JS","Aangepaste JS"
"Custom","Aangepast"
"Daily","Dagelijks "
"Debug Memory Usage","Debug Geheugen Gebruik"
"Description","Omschrijving"
"Each store view will have it's own Sooqr feed, you can easily enable or disable the Sooqr feed generation on store level or automatically generate the Sooqr feed. In case your not using the cron job functionality it's possible to generate the Sooqr feed manually.","Elk winkelzicht heeft zijn eigen Sooqr-feed. U kunt deze gemakkelijk activeren of de-activeren en Sooqr-feed automatisch laten genereren. In het geval dat u de cronjob functionaliteit niet gebruikt is het mogelijk om de Sooqr-feed handmatig te genereren."
"Enable Debugging","Activeer debugging"
"Enable or disable the feed generation for this store view or change the filename.","Activeer of de-activeer de feed generation voor deze winkelweergave of verander de naam van het bestand."
"Enable","Activeer"
"Enabled","Geactiveerd"
"Every 2 hours","Elke twee uur"
"Every 4 hours","Elke vier uur"
"Every 6 hours","Elke zes uur"
"Every hour","Elk uur"
"Example format: 200x300","Voorbeeld formaat: 200x300"
"Exclude by Category","Uitsluiten per categorie"
"Exclude Out of Stock","Sluit out of stock uit"
"Exclude products that are out of stock in your store.","Sluit niet leverbare producten uit"
"Export your CMS pages into the feed to use them in the Sooqr Search engine.","Exporteer de CMS pagina's inhoud naar de Feed om deze te gebruiken in de Sooqr Search."
"Extra Fields","Extra velden"
"Feed Generation Settings","Feed Generation Settings"
"Feed Generation","Feed Generation"
"File handler unreachable","File Handler niet bereikbaar."
"File not found, please generate new feed.","Bestand niet gevonden, graag nieuwe feed genereren."
"Filename","Bestandsnaam"
"Filter by Category","Filter per categorie"
"Filter on Visibility","Filter op zichtbaarheid"
"Frequency","Frequentie"
"Frontend Implementation","Frontend implementatie"
"Frontend Version","Frontend versie"
"General","Algemeen"
"Image Size","Beeld grootte"
"Images","Beeld"
"Include by Category","Meetellen per categorie"
"Include or exclude products based on the category.","Tel producten mee of sluit ze uit gebaseerd op een categorie."
"Include or exclude products based on the visibility.","Tel producten mee of sluit ze uit gebaseerd op zichtbaarheid."
"Limit","Limiet"
"Name","Naam"
"New","Nieuw"
"None / Do not use","Geen / Gebruik niet"
"Not Visible Individually","Individueel niet zichtbaar"
"Only add products with the following Visibility","Alleen producten toevoegen met de volgende zichtbaarheid."
"Only recommended for Developers.","Alleen aanbevolen voor ontwikkelaars."
"Parent HTML node","Parent HTML node"
"Please enable the extension before generating the feed.","Activeer de extensie voordat de feed wordt gegenereerd."
"Product Data","Product data"
"Product Fields","Product velden"
"Product Filter Options","Product filter Opties"
"Products per Batch","Producten per Bbtch"
"Refurbished","Aangepast"
"Resize Image","Pas grootte beeld aan"
"Search","Zoek"
"Set the general settings to connect your store with the Sooqr API. You can find your Sooqr Account ID and Sooqr API Key in your Sooqr account.","Stel de algemene instellingen in om de webwinkel te verbinden met de Sooqr API. Je kunt de Sooqr account ID en API key vinden in het Sooqr account."
"Sku","SKU"
"Sooqr - Feeds","Sooqr - Feeds"
"Sooqr Account ID","Sooqr Account ID"
"Sooqr API Key","Sooqr API Key"
"Sooqr Connect","Sooqr Connect"
"Source","Bron"
"Statistics","Statistieken"
"Successfully generated a feed with %1 product(s).","De feed is succesvol gegenereerd met %1 producten."
"This option allows you to include/exclude products from the Sooqr feed based on the product visibility or stock information.","Deze optie maakt het mogelijk om producten uit te sluiten van de Sooqr feed. Om producten uit te sluiten is het mogelijk om op product-niveau via de Sooqr tab te kiezen voor uistluiten: ja."
"This section lists all the default attributes for the Sooqr Product Feed. Some attributes are required for all products and some are required for certain product types such as apparel, others are recommended. To get the best results with Sooqr lease make sure that you provide most of the attributes.","In deze sectie worden alle beschikbare attributen voor de Sooqr Feed ingesteld. Sommige eigenschappen zijn vereist voor alle producten en sommige zijn voor bepaalde typen producten zoals kleding aanbevolen. Om het maximale resultaat uit Sooqr te halen raden we aan om zoveel mogelijk data te gebruiken."
"Token","Token"
"Type of filter","Type filter"
"Unkown error.","Onbekende fout."
"Use Parent Product Data for Simple Products","Gebruik Parent Product data voor simpele producten"
"Use the paging function on big catalogs, e.g. catalogs of 50.000 SKU, use 5.000 per page.","Gebruik de paging functie voor grote catalogi, Indien; Catalogus met 50.000 SKU, gebruik dan 5.000 per pagina."
"Uses","Gebruiksmogelijkheden"
"Version 4 (Responsive)","Versie 4 (Responsive)"
"Version","Versie"
"We can't generate the feed right now.","Wij kunnen momenteel de feed niet genereren."
"We can't save the cron expression.","Wij kunnen momenteel de cron expression niet opslaan."
"When your using configurable or grouped products the simple products will be shown in the feed by default. You can choose to pull the information from the parent products. Select the fall-back data for the configurable / grouped products in the multiple-select box below.","Wanneer u configurabele of gegroepeerde producten gebruikt, worden simpele producten automatisch getoond in de feed. U kunt er voor kiezen om informatie te gebruiken van parent producten. Selecteer de fall-back data voor de configurabele/ gegroepeerde producten in het meerkeuzemenu hieronder."
"Write the memory usage to the var/log/sooqr.log file","Schrijft het geheugen gebruik weg in de var/log/sooqr.log file"
"Yes, custom value","Ja, aangepaste waarde"
"Yes, fixed cached size","Ja, vaste gecachte grootte."
"You can add custom fields to your feed when needed. Please make sure that your using the latest custom fields standards to prevent error messages in the feed. The guidelines for the custom fields can be found right in our knowledgebase.","Aangepaste velden kunnen elk moment toegevoegd worden aan de feed. Let er op dat u gebruik maakt van de laatst aangepaste standaard velden om foutmeldingen in de feed te voorkomen. De richtlijnen voor deze gepersonaliseerde velden vindt u terug in onze kennisbank."
"You can find your Sooqr Account ID in your Sooqr account, you can find the link in the information box at the top of this page. Your Sooqr Account ID should look like SQ-12345-1.","Uw Sooqr Account ID is terug te vinden in uw Sooqr Account, de link hiertoe is te vinden in de info-box, bovenaan de pagina. Uw persoonlijke Sooqr Account ID moet er als volgt uitzien: SQ-123456-1."
